"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 05","1,653.19","1,655.77","1,665.76","1,652.96","","-0.05%"
"2023- 12- 04","1,653.95","1,646.31","1,656.90","1,641.95","","0.63%"
"2023- 12- 01","1,643.65","1,642.16","1,654.81","1,639.72","","0.22%"
"2023- 11- 30","1,640.04","1,639.46","1,646.83","1,633.88","","0.06%"
"2023- 11- 29","1,639.01","1,635.45","1,643.42","1,633.47","","0.31%"
"2023- 11- 28","1,633.91","1,639.69","1,642.54","1,630.34","","-0.21%"
"2023- 11- 27","1,637.40","1,642.50","1,649.09","1,638.12","","-0.29%"
"2023- 11- 24","1,642.13","1,631.08","1,646.06","1,625.68","","0.77%"
"2023- 11- 23","1,629.54","1,625.02","1,633.89","1,619.21","","0.27%"
"2023- 11- 22","1,625.08","1,625.15","1,635.33","1,619.43","","0.13%"
"2023- 11- 21","1,622.94","1,611.39","1,625.83","1,606.90","","0.86%"
"2023- 11- 20","1,609.16","1,613.85","1,619.11","1,606.14","","-0.23%"
"2023- 11- 17","1,612.89","1,604.16","1,616.20","1,600.74","","0.60%"
"2023- 11- 16","1,603.28","1,620.94","1,625.39","1,594.54","","-1.01%"
"2023- 11- 15","1,619.67","1,631.25","1,634.02","1,614.48","","-0.66%"
"2023- 11- 14","1,630.42","1,620.19","1,640.13","1,618.06","","0.68%"
"2023- 11- 13","1,619.47","1,610.06","1,624.85","1,609.14","","0.65%"
"2023- 11- 10","1,609.04","1,611.31","1,616.58","1,606.28","","-0.03%"
"2023- 11- 09","1,609.55","1,608.37","1,616.94","1,600.29","","0.21%"
"2023- 11- 08","1,606.13","1,605.02","1,613.16","1,596.26","","0.11%"
"2023- 11- 07","1,604.39","1,603.86","1,617.42","1,602.46","","0.11%"
"2023- 11- 06","1,602.61","1,620.20","1,624.19","1,601.32","","-1.02%"
"2023- 11- 03","1,619.07","1,628.29","1,630.24","1,604.94","","-0.49%"
"2023- 11- 02","1,627.11","1,638.90","1,643.94","1,619.10","","-0.63%"
"2023- 11- 01","1,637.35","1,644.69","1,652.12","1,637.24","","-0.35%"
"2023- 10- 31","1,643.13","1,638.55","1,645.35","1,636.12","","0.35%"
"2023- 10- 30","1,637.36","1,643.44","1,645.61","1,632.69","","-0.31%"
"2023- 10- 27","1,642.42","1,641.61","1,648.53","1,635.49","","0.13%"
"2023- 10- 26","1,640.27","1,638.49","1,647.23","1,634.94","","0.14%"
"2023- 10- 25","1,637.94","1,634.71","1,643.60","1,632.78","","0.24%"
"2023- 10- 24","1,634.02","1,645.55","1,650.88","1,634.10","","-0.60%"
"2023- 10- 23","1,643.83","1,642.03","1,648.82","1,641.28","","0.20%"
"2023- 10- 20","1,640.48","1,648.26","1,649.75","1,635.37","","-0.36%"
"2023- 10- 19","1,646.34","1,645.54","1,655.31","1,643.33","","0.17%"
"2023- 10- 18","1,643.59","1,649.06","1,651.55","1,641.60","","-0.25%"
"2023- 10- 17","1,647.66","1,647.00","1,653.44","1,642.79","","0.04%"
"2023- 10- 16","1,646.93","1,642.40","1,651.27","1,640.88","","0.32%"
"2023- 10- 13","1,641.72","1,642.89","1,650.71","1,638.95","","-0.02%"
"2023- 10- 12","1,642.09","1,649.56","1,655.37","1,639.39","","-0.34%"
"2023- 10- 11","1,647.73","1,649.61","1,652.82","1,642.14","","-0.01%"
"2023- 10- 10","1,647.82","1,649.14","1,654.52","1,645.66","","-0.01%"
"2023- 10- 09","1,648.01","1,644.05","1,653.38","1,639.59","","0.15%"
"2023- 10- 06","1,645.53","1,641.46","1,649.42","1,636.33","","0.31%"
"2023- 10- 05","1,640.43","1,641.31","1,645.13","1,635.60","","0.07%"
"2023- 10- 04","1,639.23","1,644.94","1,648.67","1,639.57","","-0.26%"
"2023- 10- 03","1,643.50","1,641.09","1,648.59","1,637.40","","0.29%"
"2023- 10- 02","1,638.67","1,650.02","1,652.30","1,639.63","","-0.62%"
"2023- 09- 29","1,648.89","1,647.80","1,652.23","1,639.87","","0.17%"
"2023- 09- 28","1,646.06","1,645.44","1,655.91","1,642.40","","0.15%"
"2023- 09- 27","1,643.60","1,646.37","1,649.80","1,636.59","","-0.06%"
"2023- 09- 26","1,644.59","1,635.33","1,649.21","1,633.03","","0.66%"
"2023- 09- 25","1,633.84","1,635.41","1,638.66","1,628.97","","0.08%"
"2023- 09- 22","1,632.59","1,647.27","1,649.60","1,631.22","","-0.82%"
"2023- 09- 21","1,646.17","1,646.48","1,654.33","1,639.44","","0.05%"
"2023- 09- 20","1,645.36","1,646.89","1,649.59","1,637.79","","-0.05%"
"2023- 09- 19","1,646.16","1,639.63","1,648.21","1,634.56","","0.45%"
"2023- 09- 18","1,638.84","1,646.49","1,649.31","1,638.42","","-0.38%"
"2023- 09- 15","1,645.01","1,650.56","1,654.45","1,643.72","","-0.29%"
"2023- 09- 14","1,649.80","1,658.13","1,661.96","1,646.11","","-0.41%"
"2023- 09- 13","1,656.65","1,657.36","1,662.54","1,652.61","","0.05%"
"2023- 09- 12","1,655.83","1,659.23","1,662.90","1,653.77","","-0.12%"
"2023- 09- 11","1,657.79","1,668.11","1,670.10","1,657.99","","-0.37%"
"2023- 09- 08","1,663.89","1,665.13","1,668.30","1,662.46","","0.06%"
