"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 10- 06","1,423.40","1,420.40","1,425.91","1,416.54","","0.28%"
"2023- 10- 05","1,419.47","1,421.21","1,423.87","1,415.70","","-0.01%"
"2023- 10- 04","1,419.60","1,425.66","1,427.30","1,419.58","","-0.33%"
"2023- 10- 03","1,424.37","1,421.97","1,428.94","1,419.43","","0.28%"
"2023- 10- 02","1,420.38","1,429.18","1,431.77","1,421.26","","-0.60%"
"2023- 09- 29","1,428.94","1,427.10","1,431.16","1,421.32","","0.28%"
"2023- 09- 28","1,425.00","1,424.07","1,429.90","1,421.69","","0.19%"
"2023- 09- 27","1,422.27","1,431.53","1,432.83","1,422.81","","-0.53%"
"2023- 09- 26","1,429.78","1,418.88","1,433.20","1,416.44","","0.91%"
"2023- 09- 25","1,416.95","1,422.94","1,424.66","1,415.42","","-0.29%"
"2023- 09- 22","1,421.01","1,427.98","1,430.76","1,416.12","","-0.43%"
"2023- 09- 21","1,427.11","1,421.29","1,433.39","1,418.51","","0.45%"
"2023- 09- 20","1,420.76","1,419.23","1,424.21","1,415.68","","0.15%"
"2023- 09- 19","1,418.57","1,415.67","1,421.25","1,411.01","","0.26%"
"2023- 09- 18","1,414.90","1,417.56","1,419.14","1,411.63","","-0.05%"
"2023- 09- 15","1,415.57","1,415.01","1,419.33","1,410.97","","0.06%"
"2023- 09- 14","1,414.74","1,425.04","1,428.04","1,412.63","","-0.59%"
"2023- 09- 13","1,423.17","1,426.89","1,431.59","1,422.43","","-0.20%"
"2023- 09- 12","1,426.01","1,425.98","1,428.66","1,421.35","","0.10%"
"2023- 09- 11","1,424.64","1,431.98","1,432.73","1,423.65","","-0.25%"
"2023- 09- 08","1,428.27","1,428.34","1,432.29","1,425.94","","0.11%"
"2023- 09- 07","1,426.66","1,431.61","1,434.44","1,427.03","","-0.27%"
"2023- 09- 06","1,430.53","1,426.90","1,433.85","1,423.03","","0.34%"
"2023- 09- 05","1,425.67","1,423.58","1,435.45","1,421.45","","0.27%"
"2023- 09- 04","1,421.88","1,420.96","1,426.11","1,418.97","","0.17%"
"2023- 09- 01","1,419.40","1,437.19","1,438.31","1,419.94","","-1.20%"
"2023- 08- 31","1,436.58","1,446.38","1,448.07","1,434.24","","-0.64%"
"2023- 08- 30","1,445.78","1,434.58","1,446.81","1,433.28","","0.84%"
"2023- 08- 29","1,433.79","1,432.00","1,438.60","1,428.54","","0.13%"
"2023- 08- 28","1,431.97","1,430.62","1,436.34","1,425.71","","0.18%"
"2023- 08- 25","1,429.41","1,435.94","1,437.98","1,425.25","","-0.37%"
"2023- 08- 24","1,434.73","1,442.26","1,445.44","1,430.77","","-0.39%"
"2023- 08- 23","1,440.36","1,454.23","1,456.22","1,441.11","","-0.86%"
"2023- 08- 22","1,452.89","1,460.37","1,463.19","1,450.42","","-0.38%"
