"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 07","181.92","182.38","182.85","181.71","","-0.16%"
"2023- 09- 06","182.22","182.07","183.17","181.71","","0.16%"
"2023- 09- 05","181.93","181.27","182.85","181.05","","0.43%"
"2023- 09- 04","181.15","181.57","182.05","181.13","","-0.15%"
"2023- 09- 01","181.42","182.60","182.73","181.01","","-0.61%"
"2023- 08- 31","182.54","181.71","182.79","181.18","","0.50%"
"2023- 08- 30","181.64","181.11","181.91","181.10","","0.35%"
"2023- 08- 29","181.01","181.63","182.20","181.04","","-0.31%"
"2023- 08- 28","181.57","181.70","182.07","180.95","","0.02%"
"2023- 08- 25","181.53","182.49","182.68","181.09","","-0.44%"
"2023- 08- 24","182.33","182.45","182.76","181.07","","0.07%"
"2023- 08- 23","182.20","183.82","184.05","182.27","","-0.79%"
"2023- 08- 22","183.65","183.88","184.29","183.04","","-0.04%"
"2023- 08- 21","183.72","184.05","184.41","183.38","","-0.08%"
"2023- 08- 18","183.87","183.74","184.49","182.74","","0.11%"
"2023- 08- 17","183.66","183.87","184.20","183.17","","-0.05%"
"2023- 08- 16","183.75","183.55","184.39","182.98","","0.16%"
"2023- 08- 15","183.46","184.29","184.38","182.87","","-0.42%"
"2023- 08- 14","184.23","183.83","184.49","183.01","","0.26%"
"2023- 08- 11","183.75","182.62","184.29","182.34","","0.73%"
"2023- 08- 10","182.41","182.13","183.04","181.46","","0.18%"
"2023- 08- 09","182.08","182.48","183.31","181.97","","-0.17%"
"2023- 08- 08","182.39","181.84","183.22","181.46","","0.37%"
"2023- 08- 07","181.72","181.89","182.41","180.65","","-0.07%"
"2023- 08- 04","181.85","181.40","182.68","180.96","","0.34%"
"2023- 08- 03","181.24","180.69","181.60","180.01","","0.35%"
"2023- 08- 02","180.60","179.64","181.15","179.29","","0.57%"
"2023- 08- 01","179.58","178.96","180.04","178.49","","0.38%"
"2023- 07- 31","178.90","178.10","179.09","177.84","","0.49%"
"2023- 07- 28","178.02","179.00","179.12","178.10","","-0.50%"
"2023- 07- 27","178.92","177.79","179.30","177.24","","0.69%"
"2023- 07- 26","177.69","178.88","179.57","177.34","","-0.60%"
"2023- 07- 25","178.77","178.24","179.30","177.86","","0.35%"
"2023- 07- 24","178.15","179.01","179.33","177.70","","-0.42%"
"2023- 07- 21","178.90","177.93","179.65","177.76","","0.61%"
"2023- 07- 20","177.81","175.45","178.38","174.62","","1.44%"
"2023- 07- 19","175.28","176.23","176.53","175.10","","-0.49%"
"2023- 07- 18","176.14","176.20","176.63","175.23","","0.02%"
"2023- 07- 17","176.10","177.74","177.95","176.15","","-0.83%"
"2023- 07- 14","177.58","177.20","178.02","176.59","","0.26%"
"2023- 07- 13","177.12","177.89","178.62","176.87","","-0.40%"
"2023- 07- 12","177.83","179.17","180.30","177.74","","-0.70%"
"2023- 07- 11","179.09","179.73","180.04","179.01","","-0.32%"
"2023- 07- 10","179.66","179.90","180.66","179.55","","-0.03%"
"2023- 07- 07","179.72","180.60","180.93","179.46","","-0.45%"
"2023- 07- 06","180.54","179.93","181.30","179.37","","0.38%"
"2023- 07- 05","179.85","179.47","180.65","179.13","","0.25%"
"2023- 07- 04","179.40","180.18","180.69","179.21","","-0.39%"
"2023- 07- 03","180.10","181.60","181.64","179.90","","-0.67%"
"2023- 06- 30","181.31","182.45","182.63","181.26","","-0.54%"
"2023- 06- 29","182.29","180.74","182.66","180.16","","0.90%"
"2023- 06- 28","180.66","179.98","181.24","179.68","","0.42%"
"2023- 06- 27","179.91","180.37","180.86","179.49","","-0.21%"
"2023- 06- 26","180.28","182.29","182.40","180.24","","-1.05%"
"2023- 06- 23","182.20","180.88","182.65","180.55","","0.79%"
"2023- 06- 22","180.78","179.51","181.51","179.14","","0.76%"
"2023- 06- 21","179.41","179.46","180.46","179.06","","0.02%"
"2023- 06- 20","179.37","179.19","179.78","178.13","","0.18%"
"2023- 06- 19","179.04","179.23","179.89","178.74","","0.01%"
"2023- 06- 16","179.03","178.40","179.75","178.07","","0.40%"
"2023- 06- 15","178.31","177.90","179.23","177.54","","0.29%"
"2023- 06- 14","177.79","176.90","178.76","176.58","","0.55%"
"2023- 06- 13","176.82","179.81","179.96","176.84","","-1.61%"
"2023- 06- 12","179.72","180.63","181.34","179.61","","-0.46%"
"2023- 06- 09","180.55","182.30","182.60","180.49","","-0.86%"
"2023- 06- 08","182.11","183.56","183.65","182.24","","-0.75%"
"2023- 06- 07","183.49","182.54","183.67","182.07","","0.56%"
"2023- 06- 06","182.47","183.18","183.48","182.32","","-0.35%"
"2023- 06- 05","183.11","184.35","185.05","182.88","","-0.63%"
"2023- 06- 02","184.27","185.10","185.29","183.96","","-0.37%"
"2023- 06- 01","184.95","185.94","186.41","184.99","","-0.39%"
"2023- 05- 31","185.67","186.46","186.96","185.74","","-0.39%"
"2023- 05- 30","186.39","187.32","187.41","186.01","","-0.42%"
"2023- 05- 29","187.17","187.33","187.80","186.82","","-0.01%"
"2023- 05- 26","187.18","188.05","188.32","186.99","","-0.45%"
"2023- 05- 25","188.03","186.77","188.31","186.45","","0.72%"
"2023- 05- 24","186.68","187.10","187.41","186.34","","-0.13%"
"2023- 05- 23","186.92","186.79","187.49","185.80","","0.11%"
"2023- 05- 22","186.71","189.10","189.26","186.68","","-1.24%"
"2023- 05- 19","189.05","189.60","189.84","188.43","","-0.31%"
"2023- 05- 18","189.64","190.71","191.10","189.46","","-0.52%"
"2023- 05- 17","190.63","192.41","192.57","190.38","","-0.89%"
"2023- 05- 16","192.35","192.13","192.55","191.71","","0.15%"
"2023- 05- 15","192.06","192.93","192.99","191.71","","-0.44%"
"2023- 05- 12","192.90","191.57","193.06","191.26","","0.73%"
"2023- 05- 11","191.50","190.13","192.15","189.75","","0.77%"
"2023- 05- 10","190.03","191.65","191.77","190.05","","-0.81%"
"2023- 05- 09","191.58","191.35","192.01","190.65","","0.21%"
"2023- 05- 08","191.17","190.72","191.91","190.70","","0.28%"
"2023- 05- 05","190.63","191.60","191.66","190.35","","-0.47%"
"2023- 05- 04","191.53","193.20","193.29","191.13","","-0.78%"
"2023- 05- 03","193.03","194.24","194.32","192.32","","-0.58%"
"2023- 05- 02","194.15","194.31","194.46","193.48","","0.00%"
"2023- 05- 01","194.15","193.60","194.43","193.35","","0.33%"
