"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 07","9.1177","8.9340","9.2605","8.9268","","2.06%"
"2023- 12- 06","8.9340","8.9276","8.9503","8.9016","","0.14%"
"2023- 12- 05","8.9215","8.9031","8.9829","8.8856","","0.28%"
"2023- 12- 04","8.8965","8.8249","8.9239","8.8216","","1.00%"
"2023- 12- 01","8.8082","8.7775","8.8705","8.7721","","0.47%"
"2023- 11- 30","8.7670","8.7692","8.8251","8.7495","","-0.02%"
"2023- 11- 29","8.7686","8.7329","8.7841","8.7289","","0.48%"
"2023- 11- 28","8.7271","8.7329","8.7580","8.7038","","0.06%"
"2023- 11- 27","8.7219","8.7253","8.7857","8.7041","","0.04%"
"2023- 11- 24","8.7184","8.7001","8.7612","8.6692","","0.29%"
"2023- 11- 23","8.6929","8.6997","8.7249","8.6848","","-0.06%"
"2023- 11- 22","8.6982","8.7333","8.7606","8.6943","","-0.28%"
"2023- 11- 21","8.7226","8.6833","8.7659","8.6704","","0.58%"
"2023- 11- 20","8.6726","8.6581","8.7291","8.6332","","0.27%"
"2023- 11- 17","8.6492","8.5774","8.6681","8.5703","","0.89%"
"2023- 11- 16","8.5733","8.6222","8.6679","8.5077","","-0.52%"
"2023- 11- 15","8.6181","8.6784","8.6883","8.6067","","-0.66%"
"2023- 11- 14","8.6751","8.6966","8.7738","8.6416","","-0.22%"
"2023- 11- 13","8.6938","8.6966","8.7585","8.6927","","0.07%"
"2023- 11- 10","8.6881","8.7100","8.7310","8.6848","","-0.15%"
"2023- 11- 09","8.7014","8.6708","8.7149","8.6300","","0.47%"
"2023- 11- 08","8.6609","8.6785","8.7240","8.6303","","-0.15%"
"2023- 11- 07","8.6740","8.6578","8.7268","8.6562","","0.28%"
"2023- 11- 06","8.6501","8.7681","8.7809","8.6398","","-1.20%"
"2023- 11- 03","8.7554","8.8693","8.8862","8.7307","","-1.23%"
"2023- 11- 02","8.8640","8.9350","8.9620","8.8406","","-0.71%"
"2023- 11- 01","8.9277","8.9191","8.9930","8.9124","","0.16%"
"2023- 10- 31","8.9133","9.0299","9.0455","8.9060","","-1.22%"
"2023- 10- 30","9.0232","9.0695","9.0727","8.9970","","-0.35%"
"2023- 10- 27","9.0551","9.0001","9.0828","8.9725","","0.69%"
"2023- 10- 26","8.9934","9.0070","9.0736","8.9930","","-0.08%"
"2023- 10- 25","9.0007","8.9674","9.0288","8.9621","","0.41%"
"2023- 10- 24","8.9640","8.9736","9.0005","8.9619","","0.00%"
"2023- 10- 23","8.9636","9.0147","9.0395","8.9672","","-0.42%"
"2023- 10- 20","9.0017","9.0605","9.0761","8.9973","","-0.56%"
"2023- 10- 19","9.0528","9.0396","9.0820","9.0277","","0.26%"
"2023- 10- 18","9.0293","9.0347","9.0670","9.0044","","-0.01%"
"2023- 10- 17","9.0301","9.0180","9.0728","9.0041","","0.17%"
"2023- 10- 16","9.0146","9.0518","9.0732","9.0120","","-0.29%"
"2023- 10- 13","9.0406","9.0077","9.0552","8.9953","","0.40%"
"2023- 10- 12","9.0045","8.9812","9.0260","8.9482","","0.36%"
"2023- 10- 11","8.9718","9.0281","9.0423","8.9667","","-0.52%"
"2023- 10- 10","9.0186","9.0749","9.1004","9.0223","","-0.56%"
"2023- 10- 09","9.0698","9.0201","9.1013","9.0075","","0.74%"
"2023- 10- 06","9.0031","9.0657","9.0893","8.9945","","-0.64%"
"2023- 10- 05","9.0609","9.0684","9.1066","9.0553","","-0.03%"
"2023- 10- 04","9.0633","9.1394","9.1515","9.0633","","-0.76%"
"2023- 10- 03","9.1323","9.0562","9.2484","9.0409","","0.95%"
"2023- 10- 02","9.0468","9.0474","9.0768","9.0171","","-0.02%"
"2023- 09- 29","9.0487","9.0459","9.0643","8.9993","","0.12%"
