"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 15","1,328.46","1,330.02","1,330.83","1,324.49","","-0.08%"
"2023- 09- 14","1,329.52","1,328.20","1,331.11","1,323.11","","0.22%"
"2023- 09- 13","1,326.59","1,326.72","1,332.05","1,323.66","","0.03%"
"2023- 09- 12","1,326.15","1,326.05","1,329.44","1,323.05","","0.05%"
"2023- 09- 11","1,325.49","1,336.34","1,336.44","1,325.18","","-0.71%"
"2023- 09- 08","1,334.96","1,334.78","1,337.75","1,331.49","","0.11%"
"2023- 09- 07","1,333.45","1,334.53","1,339.07","1,330.48","","-0.01%"
"2023- 09- 06","1,333.58","1,329.95","1,337.99","1,328.42","","0.34%"
"2023- 09- 05","1,329.05","1,318.41","1,335.68","1,316.81","","0.90%"
"2023- 09- 04","1,317.21","1,318.45","1,322.00","1,315.59","","-0.03%"
"2023- 09- 01","1,317.55","1,325.46","1,326.37","1,311.88","","-0.57%"
"2023- 08- 31","1,325.14","1,323.79","1,326.86","1,320.00","","0.12%"
"2023- 08- 30","1,323.49","1,318.60","1,326.22","1,318.53","","0.41%"
"2023- 08- 29","1,318.06","1,324.21","1,329.14","1,318.13","","-0.43%"
"2023- 08- 28","1,323.81","1,324.57","1,327.77","1,319.10","","0.02%"
"2023- 08- 25","1,323.53","1,328.34","1,330.61","1,319.82","","-0.29%"
"2023- 08- 24","1,327.35","1,327.92","1,330.24","1,317.88","","0.07%"
"2023- 08- 23","1,326.42","1,340.81","1,342.31","1,326.69","","-1.00%"
"2023- 08- 22","1,339.81","1,340.04","1,342.58","1,334.09","","0.05%"
"2023- 08- 21","1,339.15","1,340.17","1,344.83","1,338.05","","0.00%"
"2023- 08- 18","1,339.17","1,339.76","1,344.81","1,332.44","","-0.01%"
"2023- 08- 17","1,339.27","1,341.94","1,344.35","1,334.99","","-0.15%"
"2023- 08- 16","1,341.22","1,336.87","1,345.77","1,334.01","","0.36%"
"2023- 08- 15","1,336.42","1,337.94","1,340.47","1,332.55","","-0.03%"
